Orthogroup,Tracheophyte,Bryophyte,Streptophyte_algae,Chlorophyte_algae,Cyanobacteria
OG0000249,1,1,1,1,0
OG0000250,1,1,1,1,0
OG0000251,1,1,1,1,0
OG0000253,1,1,1,1,0
OG0000254,1,1,1,1,0
OG0000256,1,1,1,1,0
OG0000258,1,1,0,0,0
OG0000259,1,1,1,1,0
OG0000260,1,1,1,1,0
OG0000261,1,1,1,1,1
OG0000263,1,1,1,1,0
OG0000264,1,1,1,1,0
OG0000267,1,1,1,1,0
OG0000268,1,1,1,0,0
OG0000269,1,1,1,0,0
OG0000270,1,1,1,1,0
OG0000271,1,1,1,1,1
OG0000272,1,1,1,1,1
OG0000276,1,0,0,0,0
OG0000278,1,1,1,1,1
OG0000279,1,1,0,1,1
OG0000281,1,1,1,1,1
OG0000282,1,1,1,1,1
OG0000283,1,1,1,1,0
OG0000284,1,1,1,1,1
OG0000286,1,1,1,1,0
OG0000287,1,1,1,1,0
OG0000288,1,1,0,0,0
OG0000289,1,1,1,1,1
OG0000290,1,1,1,0,0
OG0000291,1,1,1,1,0
OG0000292,1,1,1,1,0
OG0000295,1,1,1,1,1
OG0000299,1,1,1,1,1
OG0000301,1,0,0,0,0
OG0000305,1,1,1,1,0
OG0000306,1,1,0,0,0
OG0000308,1,1,1,1,1
OG0000309,1,1,0,0,0
OG0000311,1,1,1,0,0
OG0000312,1,1,1,1,1
OG0000313,1,0,1,1,0
OG0000317,1,1,1,1,0
OG0000318,1,1,1,1,0
OG0000320,1,1,1,1,0
OG0000321,1,1,1,1,0
OG0000322,1,1,1,1,1
OG0000323,1,1,1,1,0
OG0000324,1,1,1,1,1
OG0000326,1,1,1,1,1
OG0000328,1,1,1,1,1
OG0000330,1,1,1,1,1
OG0000332,1,1,1,1,0
OG0000336,1,1,1,1,1
OG0000337,1,1,1,1,1
OG0000338,1,1,1,1,1
OG0000339,1,1,1,0,0
OG0000340,1,1,1,0,0
OG0000341,1,1,1,1,1
OG0000342,1,1,1,1,0
OG0000343,1,0,0,0,0
OG0000344,1,1,1,0,0
OG0000345,1,1,0,0,0
OG0000346,1,1,1,1,0
OG0000350,1,1,1,1,0
OG0000351,1,1,1,1,0
OG0000352,1,1,1,1,0
OG0000353,1,1,1,1,1
OG0000354,1,1,0,0,0
OG0000355,1,1,1,1,1
OG0000356,1,1,1,1,0
OG0000357,1,1,1,1,0
OG0000361,1,1,1,1,0
OG0000362,1,1,1,1,0
OG0000363,1,1,1,1,0
OG0000366,1,0,0,0,0
OG0000367,1,1,1,0,0
OG0000368,1,1,1,1,0
OG0000372,1,1,0,0,0
OG0000374,1,1,1,1,0
OG0000376,1,1,1,1,0
OG0000377,1,1,1,1,0
OG0000378,1,1,1,0,1
OG0000381,1,1,1,1,0
OG0000382,1,0,0,0,0
OG0000384,1,1,1,1,0
OG0000389,1,1,1,1,0
OG0000390,1,1,1,1,0
OG0000391,1,1,1,1,0
OG0000392,1,1,0,0,0
OG0000396,1,1,1,1,0
OG0000398,1,1,1,1,0
OG0000399,1,1,1,0,1
OG0000400,1,1,1,1,0
OG0000403,1,1,1,1,0
OG0000405,1,1,1,0,0
OG0000406,1,1,1,1,1
OG0000412,1,1,1,1,1
OG0000413,1,1,1,0,0
OG0000414,1,1,1,0,0
OG0000416,1,1,1,1,0
OG0000419,1,1,1,1,0
OG0000420,1,1,1,1,0
OG0000422,1,1,1,1,1
OG0000424,1,1,1,0,0
OG0000427,1,1,1,1,0
OG0000429,1,1,0,0,0
OG0000430,1,1,1,0,0
OG0000432,1,1,1,1,1
OG0000435,1,1,1,1,1
OG0000436,1,1,1,0,0
OG0000437,1,1,1,1,0
OG0000439,1,1,1,1,0
OG0000440,1,1,1,0,0
OG0000441,1,1,1,1,0
OG0000442,1,1,0,0,0
OG0000443,1,1,1,1,0
OG0000444,1,1,1,1,0
OG0000445,1,1,1,1,1
OG0000446,1,1,1,1,0
OG0000447,1,1,1,1,0
OG0000449,1,1,1,0,0
OG0000452,1,1,1,1,1
OG0000455,1,1,1,1,1
OG0000456,1,1,1,1,1
OG0000457,1,1,1,1,1
OG0000458,1,1,1,0,0
