Orthogroup,0,0,0,0,0
OG0000000,14,6,3,5,0
OG0000001,11,5,6,5,0
OG0000002,14,6,6,6,0
OG0000003,14,6,5,6,0
OG0000004,14,6,6,6,0
OG0000005,14,6,4,0,0
OG0000006,14,5,3,0,1
OG0000007,14,6,6,6,2
OG0000008,14,6,6,1,1
OG0000009,14,6,2,1,2
OG0000010,14,6,6,6,5
OG0000011,14,6,6,3,0
OG0000012,14,6,4,0,3
OG0000013,14,6,6,6,3
OG0000014,14,6,3,0,0
OG0000015,14,6,5,6,0
OG0000016,14,6,6,6,4
OG0000017,14,6,4,1,0
OG0000018,14,5,3,2,1
OG0000019,14,6,6,5,0
OG0000020,14,5,3,5,4
OG0000021,14,6,6,6,3
OG0000022,14,6,4,3,0
OG0000023,14,6,6,6,1
OG0000024,14,6,6,6,1
OG0000025,14,6,6,6,0
OG0000026,14,5,1,0,0
OG0000027,14,6,6,6,5
OG0000028,14,5,4,1,0
OG0000029,14,6,5,6,2
OG0000030,14,6,6,6,5
OG0000031,14,5,5,4,0
OG0000032,14,6,5,5,2
OG0000033,14,6,6,6,5
OG0000034,14,6,6,6,0
OG0000035,14,3,1,0,0
OG0000036,14,6,6,6,1
OG0000037,14,6,4,1,0
OG0000038,14,6,2,0,0
OG0000039,14,6,3,0,0
OG0000040,14,6,6,6,5
OG0000041,14,5,4,0,0
OG0000042,14,5,0,0,0
OG0000043,14,6,5,6,1
OG0000044,14,6,2,0,0
OG0000045,14,3,1,1,0
OG0000046,14,6,5,3,0
OG0000047,14,6,4,0,0
OG0000048,14,6,4,2,0
OG0000049,14,6,6,6,3
OG0000050,14,6,6,6,0
OG0000051,14,6,4,6,0
OG0000052,14,6,6,6,0
OG0000053,14,6,6,6,5
OG0000054,14,6,6,6,5
OG0000055,14,6,6,6,5
OG0000056,14,6,6,6,5
OG0000057,14,6,4,0,0
OG0000058,14,6,6,6,0
OG0000059,14,5,1,0,0
OG0000060,14,4,5,5,1
OG0000061,14,6,3,2,1
OG0000062,14,6,5,3,2
OG0000063,14,6,6,6,0
OG0000064,14,6,6,6,0
OG0000065,14,6,6,6,0
OG0000066,14,6,6,6,0
OG0000067,14,3,0,1,0
OG0000068,14,6,6,6,5
OG0000069,14,6,5,5,0
OG0000070,14,6,5,3,0
OG0000071,14,6,4,0,0
OG0000072,14,6,4,0,0
OG0000074,14,6,4,2,1
OG0000075,14,6,4,0,0
OG0000076,14,6,6,5,1
OG0000078,14,6,6,6,0
OG0000079,14,2,0,0,0
OG0000083,14,6,6,5,3
OG0000085,14,6,6,6,3
OG0000086,12,0,1,1,0
OG0000087,14,6,5,0,0
OG0000088,14,5,2,1,0
OG0000090,14,6,3,1,0
OG0000093,14,6,4,0,0
OG0000094,14,5,1,0,0
OG0000095,12,6,4,4,0
OG0000096,14,6,6,6,0
OG0000097,14,6,5,4,0
OG0000098,14,6,4,4,0
OG0000099,14,6,6,6,5
OG0000100,14,6,5,6,0
OG0000101,14,6,6,5,5
OG0000102,14,6,5,3,0
OG0000103,12,0,0,0,0
OG0000104,14,6,6,5,0
OG0000106,14,5,3,4,2
OG0000107,8,2,2,1,0
OG0000111,14,6,5,0,1
OG0000113,14,6,6,5,0
OG0000115,14,6,4,1,0
OG0000116,14,6,6,6,5
OG0000117,14,6,6,6,0
OG0000118,14,6,6,6,2
OG0000119,14,6,4,0,0
OG0000121,14,6,6,5,0
OG0000123,14,5,1,1,2
OG0000124,14,5,3,3,0
OG0000126,13,6,6,5,0
OG0000128,12,0,1,0,0
OG0000130,14,6,5,5,0
OG0000132,14,6,5,6,5
OG0000133,14,5,2,0,0
OG0000134,14,6,6,6,0
OG0000135,14,6,2,1,0
OG0000136,14,6,6,4,0
OG0000138,14,6,6,6,1
OG0000141,14,6,6,6,0
OG0000142,14,6,6,1,5
OG0000143,14,5,4,5,3
OG0000144,14,5,1,1,0
OG0000145,14,6,6,6,0
OG0000146,14,6,6,6,5
OG0000147,14,5,0,0,0
OG0000148,14,4,0,0,0
OG0000149,14,5,4,1,0
OG0000151,14,6,6,4,0
OG0000152,14,5,4,2,2
OG0000153,14,6,3,0,0
OG0000154,14,3,5,0,0
OG0000155,14,6,6,6,5
OG0000156,13,1,0,0,0
OG0000157,14,6,6,6,0
OG0000158,13,3,2,2,0
OG0000159,14,5,2,0,0
OG0000160,14,5,0,0,0
OG0000161,14,1,1,1,1
OG0000163,14,5,0,0,0
OG0000164,14,6,2,1,0
OG0000165,14,4,1,0,0
OG0000166,14,6,6,6,5
OG0000171,14,6,5,4,0
OG0000172,14,6,3,2,2
OG0000173,14,6,4,1,0
OG0000174,14,6,6,6,0
OG0000175,14,5,6,4,0
OG0000176,14,6,6,6,0
OG0000177,14,6,5,3,2
OG0000178,14,6,6,6,0
OG0000179,14,6,3,0,2
OG0000180,14,6,4,0,0
OG0000181,14,6,6,6,0
OG0000183,14,5,3,0,0
OG0000184,14,6,6,6,0
OG0000186,14,5,2,2,0
OG0000187,14,6,4,0,0
OG0000188,14,6,6,6,5
OG0000189,14,6,6,4,5
OG0000190,14,6,6,5,0
OG0000191,14,6,5,6,0
OG0000195,14,6,6,2,0
OG0000196,14,6,4,0,0
OG0000197,14,6,5,2,5
OG0000199,14,5,4,0,0
OG0000200,14,6,6,6,0
OG0000201,14,6,5,5,2
OG0000203,14,6,6,2,0
OG0000205,14,6,4,0,0
OG0000206,14,6,5,5,0
OG0000207,14,6,6,6,0
OG0000209,14,6,5,6,1
OG0000210,14,6,6,6,0
